+----------------------------+----------+---------+----------+
| Date / Heure               |   Conso. |   Prod. |   Relais |
|----------------------------+----------+---------+----------|
| 2025-10-05T20:10:11.646053 |   316.86 |   -7.81 |        0 |
| 2025-10-05T20:09:11.440125 |   290.31 |   -8.52 |        0 |
| 2025-10-05T20:08:11.314654 |   289.15 |   -7.81 |        0 |
| 2025-10-05T20:07:11.156269 |   288.74 |   -8.21 |        0 |
| 2025-10-05T20:06:10.695835 |   332.22 |   -8.18 |        0 |
| 2025-10-05T20:05:10.520829 |   290.95 |   -8.12 |        0 |
| 2025-10-05T20:04:10.351737 |   291.63 |   -8.09 |        0 |
| 2025-10-05T20:03:10.092589 |   288.7  |   -8.08 |        0 |
| 2025-10-05T20:02:09.884513 |   289.53 |   -8.18 |        0 |
| 2025-10-05T19:16:30.595004 |   223.09 |   -6.79 |        0 |
| 2025-10-05T19:15:30.468608 |   225.43 |   -8.04 |        0 |
| 2025-10-05T19:14:30.336699 |   233.07 |   -7.77 |        0 |
| 2025-10-05T19:13:30.210004 |   222.26 |   -7.68 |        0 |
| 2025-10-05T19:12:30.084396 |   223.38 |  -11.53 |        0 |
| 2025-10-05T19:11:29.946922 |   271.15 |   -9.32 |        0 |
| 2025-10-05T19:10:29.641294 |   292.76 |  -12.11 |        0 |
| 2025-10-05T19:09:29.510366 |   116.28 |   -6.34 |        0 |
| 2025-10-05T19:08:29.390881 |   115.69 |   -6.99 |        0 |
| 2025-10-05T19:07:29.190526 |   125.6  |   -8.2  |        0 |
| 2025-10-05T19:06:28.877378 |   240.89 |  -12.61 |        0 |
| 2025-10-05T19:05:28.732089 |   137.9  |  -16.14 |        0 |
| 2025-10-05T19:04:28.610789 |   121.07 |  -11.19 |        0 |
| 2025-10-05T19:03:28.483802 |   120.92 |  -16.47 |        0 |
| 2025-10-05T19:02:28.358647 |   120.17 |  -14.19 |        0 |
| 2025-10-05T19:01:28.231823 |   121.09 |  -13.75 |        0 |
| 2025-10-05T19:00:28.073019 |   118.78 |  -13.39 |        0 |
| 2025-10-05T18:59:27.901120 |   120.3  |  -15.78 |        0 |
| 2025-10-05T18:58:27.776648 |   111.57 |  -16.61 |        0 |
| 2025-10-05T18:57:27.650593 |   110.79 |  -16.95 |        0 |
| 2025-10-05T18:56:27.520018 |   111.29 |  -28.03 |        0 |
| 2025-10-05T18:55:27.395981 |   111.63 |  -35.71 |        0 |
| 2025-10-05T18:54:27.256614 |   112.79 |  -42.14 |        0 |
| 2025-10-05T18:53:26.975471 |   113.28 |  -42.11 |        0 |
| 2025-10-05T18:52:26.811801 |   112.85 |  -49.7  |        0 |
| 2025-10-05T18:51:26.689370 |   112.42 |  -60.64 |        0 |
| 2025-10-05T18:50:26.564183 |   116.46 |  -64.91 |        0 |
| 2025-10-05T18:49:26.337351 |   112.02 |  -70.93 |        0 |
| 2025-10-05T18:48:26.110292 |    47.98 |  -76.28 |        0 |
| 2025-10-05T18:47:25.953058 |    49.15 |  -75.21 |        0 |
| 2025-10-05T18:46:25.780894 |    47.79 |  -82.03 |        0 |
| 2025-10-05T18:45:25.617938 |    48.37 |  -89.53 |        0 |
| 2025-10-05T18:44:25.273171 |    49.01 | -101.12 |        0 |
| 2025-10-05T18:43:25.034625 |    48.77 | -105.57 |        0 |
| 2025-10-05T18:42:24.911912 |    48.58 | -105.67 |        0 |
| 2025-10-05T18:41:24.779321 |    48.91 | -119.57 |        0 |
| 2025-10-05T18:40:24.653750 |    49.1  | -117.48 |        0 |
| 2025-10-05T18:39:24.513054 |    51.55 | -128.64 |        0 |
| 2025-10-05T18:38:24.385134 |    50.67 | -100.1  |        0 |
| 2025-10-05T18:37:24.261022 |    51.76 | -100.8  |        0 |
| 2025-10-05T18:36:24.132750 |    50.82 | -115.56 |        0 |
| 2025-10-05T18:35:24.008735 |    51.01 | -113.88 |        0 |
| 2025-10-05T18:34:23.868085 |    50.48 | -112.39 |        0 |
| 2025-10-05T18:33:23.746603 |    50.84 | -113.14 |        0 |
| 2025-10-05T18:32:23.537215 |    49.44 | -123.3  |        0 |
| 2025-10-05T18:31:23.347243 |    50.12 | -145.17 |        0 |
| 2025-10-05T18:30:23.168103 |    52.57 | -148.33 |        0 |
| 2025-10-05T18:29:23.046994 |    52.33 | -148.85 |        0 |
| 2025-10-05T18:28:22.921292 |    51.75 | -146.25 |        0 |
| 2025-10-05T18:27:22.795256 |    51.13 | -155.68 |        0 |
| 2025-10-05T18:26:22.669224 |    51.99 | -194.54 |        0 |
+----------------------------+----------+---------+----------+
